"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-dp-gee-staged-artifact.R","dp-gee-staged-artifact","staged GEE reconstruction checks the entire beta-only vector",28,0,FALSE,FALSE,0,4.801,0.359999999999999,6.904,28
"test-dp-gee-staged-artifact.R","dp-gee-staged-artifact","fixed-rho GEE public admission and preflight preserve separated owner sources",102,0,FALSE,FALSE,0,12.903,1.001,18.081,102
"test-dp-gee-staged-contract.R","dp-gee-staged-contract","fixed-rho staged GEE binds native cap scales and keeps legacy contracts",50,0,FALSE,FALSE,0,3.667,1.283,6.30199999999999,50
"test-dp-gee-staged-contract.R","dp-gee-staged-contract","GEE n2000 descriptor is an explicit bounded measurement domain",6,0,FALSE,FALSE,0,0.411999999999992,0.245999999999999,0.917000000000002,6
"test-dp-gee-staged-contract.R","dp-gee-staged-contract","fixed-rho sensitivity counts affected clusters, not cluster capacity",14,0,FALSE,FALSE,0,0.739000000000004,0.375,1.57400000000001,14
"test-dp-gee-staged-contract.R","dp-gee-staged-contract","analyst fixed-rho parameters admit exactly the retained working correlations",72,0,FALSE,FALSE,0,0.344999999999999,0.00200000000000067,0.529000000000025,72
"test-dp-gee-staged-transport.R","dp-gee-staged-transport","fixed-rho GEE reaches the exact transport only with its Ring128 family binding",16,0,FALSE,FALSE,0,0.859999999999999,0.00399999999999956,1.15199999999999,16
